,Date,CO in ug/m^3,Tin Oxide(CO trgt),Benzene in ug/m^3,Titania(NMHC trgt),NOx in ug/m^3,Tungsten Oxide(NOx trgt),NO2 in ug/m^3,Tungsten Oxide(NO2 trgt),Indium Oxide(O3 trgt),Temperature,Relative Humidity,Absolute Humidity,Datetime,Year,Month,Day,WeekDay
0,2004-03-10 00:00:00,2600.0,1360.0,11.881723488680304,1045.5,315.4,1056.25,113.0,1692.0,1267.5,13.599999904633,48.875000953674,0.7577538251293606,2004-03-10 18:00:00,2004,3,10,2
1,2004-03-10 00:00:00,2000.0,1292.25,9.397164889581603,954.75,195.7,1173.75,92.0,1558.75,972.25,13.299999952316,47.699999809265,0.7254874492424674,2004-03-10 19:00:00,2004,3,10,2
2,2004-03-10 00:00:00,2200.0,1402.0,8.997816871326798,939.25,248.89999999999998,1140.0,114.0,1554.5,1074.0,11.900000095367,53.97500038147,0.7502390673981953,2004-03-10 20:00:00,2004,3,10,2
3,2004-03-10 00:00:00,2200.0,1375.5,9.228796421407274,948.25,326.8,1092.0,122.0,1583.75,1203.25,11.0,60.0,0.7867125330859253,2004-03-10 21:00:00,2004,3,10,2
4,2004-03-10 00:00:00,1600.0,1272.25,6.518223669074141,835.5,248.89999999999998,1205.0,116.0,1490.0,1110.0,11.150000095367,59.575000762939,0.7887942318667593,2004-03-10 22:00:00,2004,3,10,2
5,2004-03-10 00:00:00,1200.0,1197.0,4.741012362478748,750.25,169.1,1336.5,96.0,1393.0,949.25,11.175000190735,59.175000190735,0.7847716643397448,2004-03-10 23:00:00,2004,3,10,2
6,2004-03-11 00:00:00,1200.0,1185.0,3.624399189797516,689.5,117.8,1461.75,77.0,1332.75,732.5,11.324999809265,56.77499961853,0.7603119392843289,2004-03-11 00:00:00,2004,3,11,3
7,2004-03-11 00:00:00,1000.0,1136.25,3.3266769916607997,672.0,117.8,1453.25,76.0,1332.75,729.5,10.674999952316,60.0,0.7702384578230451,2004-03-11 01:00:00,2004,3,11,3
8,2004-03-11 00:00:00,900.0,1094.0,2.3394161950867094,608.5,85.5,1579.0,60.0,1276.0,619.5,10.650000095367,59.674999237061,0.7648187256861201,2004-03-11 02:00:00,2004,3,11,3
11,2004-03-11 00:00:00,700.0,1066.0,1.1334305711878574,512.0,30.4,1918.0,28.0,1182.0,421.75,10.999999761581,56.175000190735,0.7365596001806396,2004-03-11 05:00:00,2004,3,11,3
12,2004-03-11 00:00:00,700.0,1051.75,1.6037678797288073,553.25,64.6,1738.25,48.0,1221.25,471.5,10.450000047684,58.125,0.7352950830247281,2004-03-11 06:00:00,2004,3,11,3
13,2004-03-11 00:00:00,1100.0,1144.0,3.2436181473100727,667.0,186.2,1489.75,82.0,1339.0,729.75,10.200000047684,59.599999427795,0.7417361628563275,2004-03-11 07:00:00,2004,3,11,3
14,2004-03-11 00:00:00,2000.0,1333.25,8.013772987090615,899.75,330.59999999999997,1136.0,112.0,1517.0,1101.5,10.75,57.425000190735,0.7407945757399766,2004-03-11 08:00:00,2004,3,11,3
15,2004-03-11 00:00:00,2200.0,1351.0,9.540642925320222,960.25,245.1,1079.0,101.0,1582.75,1027.75,10.5,60.599998474121,0.7691107927579083,2004-03-11 09:00:00,2004,3,11,3
16,2004-03-11 00:00:00,1700.0,1233.25,6.335782437222818,827.25,212.79999999999998,1218.0,98.0,1445.75,859.75,10.799999952316,58.35000038147,0.7551830826522904,2004-03-11 10:00:00,2004,3,11,3
17,2004-03-11 00:00:00,1500.0,1178.75,4.971583761462568,762.0,180.5,1327.5,92.0,1361.75,670.5,10.499999761581,57.925000190735,0.7351607796315153,2004-03-11 11:00:00,2004,3,11,3
18,2004-03-11 00:00:00,1600.0,1236.0,5.216918999884966,774.25,197.6,1301.25,95.0,1401.25,664.0,9.5249998569489,66.774998664856,0.7950537885142038,2004-03-11 12:00:00,2004,3,11,3
19,2004-03-11 00:00:00,1900.0,1285.5,7.26993335753569,868.5,277.4,1162.25,112.0,1536.75,799.0,8.299999833107,76.425001144409,0.8392680677502771,2004-03-11 13:00:00,2004,3,11,3
20,2004-03-11 00:00:00,2900.0,1371.0,11.539007213563714,1033.5,393.29999999999995,983.25,128.0,1730.25,1036.5,8.0,81.14999961853,0.8735885336185425,2004-03-11 14:00:00,2004,3,11,3
21,2004-03-11 00:00:00,2200.0,1310.0,8.826222726457212,932.5,349.59999999999997,1081.75,126.0,1646.5,946.25,8.325000166893,79.799999237061,0.8777844450980445,2004-03-11 15:00:00,2004,3,11,3
22,2004-03-11 00:00:00,2200.0,1291.75,8.301413416761816,911.5,366.7,1102.5,131.0,1590.75,956.75,9.7000000476837,71.150001525879,0.8569381279436317,2004-03-11 16:00:00,2004,3,11,3
23,2004-03-11 00:00:00,2900.0,1383.0,11.151581216129403,1019.75,461.7,1008.0,135.0,1718.75,1104.0,9.7750000953674,67.624998092651,0.8185012074753434,2004-03-11 17:00:00,2004,3,11,3
24,2004-03-11 00:00:00,4800.0,1580.75,20.799216861460543,1318.5,533.9,798.5,151.0,2083.0,1408.5,10.349999904633,64.174999237061,0.806543633173666,2004-03-11 18:00:00,2004,3,11,3
25,2004-03-11 00:00:00,6900.0,1775.5,27.359807493586764,1487.75,727.6999999999999,702.25,172.0,2332.5,1704.0,9.6500000953674,69.300001144409,0.8319211444100879,2004-03-11 19:00:00,2004,3,11,3
26,2004-03-11 00:00:00,6100.0,1640.0,24.017756935949226,1404.0,666.9,742.75,165.0,2191.25,1653.75,9.6499998569489,67.75,0.8133139353625914,2004-03-11 20:00:00,2004,3,11,3
27,2004-03-11 00:00:00,3900.0,1312.75,12.779368248758171,1076.25,456.0,957.25,136.0,1706.5,1284.75,9.125,63.974999427795,0.7419242244892506,2004-03-11 21:00:00,2004,3,11,3
28,2004-03-11 00:00:00,1500.0,964.5,4.707071919244755,748.5,178.6,1325.25,85.0,1332.5,821.0,8.1750001907349,63.39999961853,0.6904844466414399,2004-03-11 22:00:00,2004,3,11,3
29,2004-03-11 00:00:00,1000.0,912.75,2.6457215096105893,629.25,89.3,1564.5,53.0,1252.25,551.75,8.2499998807907,60.824998855591,0.6657443604063102,2004-03-11 23:00:00,2004,3,11,3
30,2004-03-12 00:00:00,1700.0,1080.25,5.85480151426304,805.0,231.79999999999998,1253.5,97.0,1375.0,815.5,8.3250002861023,58.525000572205,0.6437636096330573,2004-03-12 00:00:00,2004,3,12,4
31,2004-03-12 00:00:00,1900.0,1043.75,6.37429750967153,829.0,252.7,1247.25,110.0,1378.25,831.5,7.7250001430511,59.674999237061,0.6307660602738635,2004-03-12 01:00:00,2004,3,12,4
32,2004-03-12 00:00:00,1400.0,987.75,4.132341795103469,718.0,155.79999999999998,1395.5,91.0,1303.5,691.5,7.125,61.799999237061,0.6275973687868803,2004-03-12 02:00:00,2004,3,12,4
